;date;state_abbreviations;score_biden_mean;score_trump_mean;user_biden;user_trump;tweet_biden;tweet_trump;score_dif;posneg
0;2020-07-06;AK;-0.22291666666666665;-0.836;3.0;1.0;6.0;1.0;0.6130833333333333;1
1;2020-07-06;AL;0.16024444444444447;-0.04180526315789474;9.0;15.0;9.0;19.0;0.2020497076023392;1
2;2020-07-06;AR;0.21286666666666668;0.009355555555555537;6.0;9.0;6.0;9.0;0.20351111111111114;1
3;2020-07-06;AZ;0.11213000000000002;-0.060375757575757596;37.0;54.0;40.0;66.0;0.17250575757575762;1
4;2020-07-06;CA;0.14158966942148754;-0.0777876080691642;211.0;300.0;242.0;347.0;0.21937727749065172;1
5;2020-07-06;CO;0.09433846153846154;-0.1877538461538462;21.0;44.0;26.0;52.0;0.28209230769230775;1
6;2020-07-06;CT;0.021666666666666685;-0.1641357142857143;15.0;26.0;15.0;28.0;0.185802380952381;1
7;2020-07-06;DC;-0.05856190476190476;-0.07779705882352944;19.0;54.0;21.0;68.0;0.019235154061624682;1
8;2020-07-06;DE;0.112575;0.07444000000000002;3.0;5.0;4.0;5.0;0.038134999999999974;1
9;2020-07-06;FL;0.11010769230769231;-0.091685;117.0;161.0;143.0;180.0;0.2017926923076923;1
10;2020-07-06;GA;0.12486530612244891;0.021613207547169805;44.0;44.0;49.0;53.0;0.1032520985752791;1
11;2020-07-06;HI;0.22765000000000005;0.027044444444444444;9.0;8.0;10.0;18.0;0.2006055555555556;1
12;2020-07-06;IA;0.109675;-0.09741428571428572;8.0;6.0;8.0;7.0;0.2070892857142857;1
13;2020-07-06;ID;-0.24391666666666664;-0.20903333333333338;6.0;4.0;6.0;6.0;-0.034883333333333266;-1
14;2020-07-06;IL;0.05482352941176472;-0.16763783783783787;55.0;55.0;68.0;74.0;0.22246136724960258;1
15;2020-07-06;IN;0.21568125;-0.029690909090909122;14.0;20.0;16.0;22.0;0.24537215909090912;1
16;2020-07-06;KS;0.1654;0.320725;8.0;8.0;8.0;8.0;-0.155325;-1
17;2020-07-06;KY;0.05937894736842106;-0.1015777777777778;15.0;16.0;19.0;18.0;0.16095672514619885;1
18;2020-07-06;LA;0.00525;-0.15194210526315788;12.0;19.0;16.0;19.0;0.15719210526315788;1
19;2020-07-06;MA;0.1063939393939394;-0.08657058823529414;32.0;42.0;33.0;51.0;0.19296452762923355;1
20;2020-07-06;MD;0.23083333333333333;-0.0911810810810811;15.0;30.0;18.0;37.0;0.3220144144144144;1
21;2020-07-06;ME;0.147025;-0.3493909090909091;9.0;10.0;12.0;11.0;0.49641590909090905;1
22;2020-07-06;MI;0.12870810810810812;-0.11891842105263162;33.0;34.0;37.0;38.0;0.24762652916073974;1
23;2020-07-06;MN;0.09282307692307692;-0.156746875;13.0;29.0;13.0;32.0;0.24956995192307693;1
24;2020-07-06;MO;0.01349545454545456;-0.1064192307692308;18.0;21.0;22.0;26.0;0.11991468531468535;1
25;2020-07-06;MS;-0.4576;0.09259999999999999;1.0;6.0;1.0;8.0;-0.5502;-1
26;2020-07-06;MT;0.3330666666666666;0.03807499999999998;3.0;8.0;3.0;8.0;0.29499166666666665;1
27;2020-07-06;NC;0.2689377777777777;0.02645581395348837;41.0;42.0;45.0;43.0;0.24248196382428935;1
28;2020-07-06;ND;0.48745000000000005;-0.018500000000000016;2.0;2.0;2.0;2.0;0.5059500000000001;1
29;2020-07-06;NE;-0.70875;-0.1659875;2.0;8.0;2.0;8.0;-0.5427625;-1
30;2020-07-06;NH;-0.12931999999999996;0.11642000000000001;5.0;4.0;5.0;5.0;-0.24573999999999996;-1
31;2020-07-06;NJ;0.06193333333333334;-0.1309283018867925;38.0;43.0;42.0;53.0;0.19286163522012584;1
32;2020-07-06;NM;-0.17679999999999998;-0.19633000000000003;3.0;10.0;3.0;10.0;0.019530000000000047;1
33;2020-07-06;NV;0.052287499999999994;-0.1052866666666667;33.0;27.0;48.0;30.0;0.15757416666666668;1
34;2020-07-06;NY;0.022134745762711867;-0.11757985074626835;106.0;167.0;118.0;268.0;0.13971459650898022;1
35;2020-07-06;OH;-0.01378571428571428;-0.18211521739130437;39.0;42.0;42.0;46.0;0.16832950310559008;1
36;2020-07-06;OK;0.3028;0.20895999999999998;13.0;9.0;13.0;10.0;0.09384000000000003;1
37;2020-07-06;OR;0.017233333333333323;-0.08063095238095244;18.0;36.0;30.0;42.0;0.09786428571428576;1
38;2020-07-06;PA;0.13249454545454548;-0.017159793814433017;50.0;77.0;55.0;97.0;0.1496543392689785;1
39;2020-07-06;RI;0.19293333333333332;-0.12791666666666668;3.0;5.0;3.0;6.0;0.32084999999999997;1
40;2020-07-06;SC;0.06466250000000001;-0.11316206896551724;7.0;26.0;8.0;29.0;0.17782456896551724;1
41;2020-07-06;SD;0.5104666666666667;-0.1859;6.0;4.0;6.0;4.0;0.6963666666666668;1
42;2020-07-06;TN;0.13739655172413795;-0.1407387096774194;28.0;28.0;29.0;31.0;0.2781352614015573;1
43;2020-07-06;TX;0.10185267175572514;-0.04402734375000003;115.0;120.0;131.0;128.0;0.14588001550572516;1
44;2020-07-06;UT;0.25332857142857146;0.2767181818181818;6.0;7.0;7.0;11.0;-0.02338961038961035;-1
45;2020-07-06;VA;9.67741935485197e-06;-0.25707941176470595;37.0;27.0;62.0;34.0;0.2570890891840608;1
46;2020-07-06;VT;0.7351;-0.09310000000000002;1.0;3.0;1.0;3.0;0.8282;1
47;2020-07-06;WA;0.19188095238095237;-0.10952702702702706;40.0;61.0;42.0;74.0;0.3014079794079794;1
